iter	RMSE
0	13.36399254
1	12.35258531
2	11.43915013
3	10.6695673
4	9.988349702
5	9.345431371
6	8.747837843
7	8.278996484
8	7.816111854
9	7.376354644
10	6.969408493
11	6.630414579
12	6.329143384
13	6.022778992
14	5.773059211
15	5.531926879
16	5.337581222
17	5.152569966
18	4.992723994
19	4.853204263
20	4.731664355
21	4.652925784
22	4.558977631
23	4.477276724
24	4.401992221
25	4.334753953
26	4.271563615
27	4.218046929
28	4.165110998
29	4.121183236
30	4.075159113
31	4.034579089
32	4.003023794
33	3.975076603
34	3.94554383
35	3.922773572
36	3.902487053
37	3.886150952
38	3.867632349
39	3.850983943
40	3.830712522
41	3.816524639
42	3.809259201
43	3.792585431
44	3.775020893
45	3.766818564
46	3.748827574
47	3.732430201
48	3.723841822
49	3.714326459
50	3.703919237
51	3.689099215
52	3.675561712
53	3.666621845
54	3.654243971
55	3.642815996
56	3.629774942
57	3.618583846
58	3.609657707
59	3.600404903
60	3.586899042
61	3.582023645
62	3.574978996
63	3.568993953
64	3.558545913
65	3.552609798
66	3.549160539
67	3.545308907
68	3.5397213
69	3.532890989
70	3.52784715
71	3.522663302
72	3.504633681
73	3.49521781
74	3.483546553
75	3.478406744
76	3.472396831
77	3.463715641
78	3.458088189
79	3.448935613
80	3.445552525
81	3.437540509
82	3.430988231
83	3.424631751
84	3.413474014
85	3.410416484
86	3.404708728
87	3.394658574
88	3.39289175
89	3.380535174
90	3.374913629
91	3.370001767
92	3.367232523
93	3.360559426
94	3.349272823
95	3.333487825
96	3.327559828
97	3.31978995
98	3.316428434
99	3.303893016
